------------------------------ Machine Precision Method ------------------------------
      Iteration       Calculation
         (1)          1 \ 2 = 0.5 
         (2)          0.5 \ 2 = 0.25 
         (3)          0.25 \ 2 = 0.125 
         (4)          0.125 \ 2 = 0.0625 
         (5)          0.0625 \ 2 = 0.03125 
         (6)          0.03125 \ 2 = 0.015625 
         (7)          0.015625 \ 2 = 0.0078125 
         (8)          0.0078125 \ 2 = 0.00390625 
         (9)          0.00390625 \ 2 = 0.001953125 
         (10)         0.001953125 \ 2 = 0.0009765625 
         (11)         0.0009765625 \ 2 = 0.00048828125 
         (12)         0.00048828125 \ 2 = 0.000244140625 
         (13)         0.000244140625 \ 2 = 0.0001220703125 
         (14)         0.0001220703125 \ 2 = 6.103515625e-05 
         (15)         6.103515625e-05 \ 2 = 3.0517578125e-05 
         (16)         3.0517578125e-05 \ 2 = 1.52587890625e-05 
         (17)         1.52587890625e-05 \ 2 = 7.62939453125e-06 
         (18)         7.62939453125e-06 \ 2 = 3.814697265625e-06 
         (19)         3.814697265625e-06 \ 2 = 1.9073486328125e-06 
         (20)         1.9073486328125e-06 \ 2 = 9.5367431640625e-07 
         (21)         9.5367431640625e-07 \ 2 = 4.76837158203125e-07 
         (22)         4.76837158203125e-07 \ 2 = 2.384185791015625e-07 
         (23)         2.384185791015625e-07 \ 2 = 1.1920928955078125e-07 
         (24)         1.1920928955078125e-07 \ 2 = 5.960464477539063e-08 
         (25)         5.960464477539063e-08 \ 2 = 2.9802322387695312e-08 
         (26)         2.9802322387695312e-08 \ 2 = 1.4901161193847656e-08 
         (27)         1.4901161193847656e-08 \ 2 = 7.450580596923828e-09 
         (28)         7.450580596923828e-09 \ 2 = 3.725290298461914e-09 
         (29)         3.725290298461914e-09 \ 2 = 1.862645149230957e-09 
         (30)         1.862645149230957e-09 \ 2 = 9.313225746154785e-10 
         (31)         9.313225746154785e-10 \ 2 = 4.656612873077393e-10 
         (32)         4.656612873077393e-10 \ 2 = 2.3283064365386963e-10 
         (33)         2.3283064365386963e-10 \ 2 = 1.1641532182693481e-10 
         (34)         1.1641532182693481e-10 \ 2 = 5.820766091346741e-11 
         (35)         5.820766091346741e-11 \ 2 = 2.9103830456733704e-11 
         (36)         2.9103830456733704e-11 \ 2 = 1.4551915228366852e-11 
         (37)         1.4551915228366852e-11 \ 2 = 7.275957614183426e-12 
         (38)         7.275957614183426e-12 \ 2 = 3.637978807091713e-12 
         (39)         3.637978807091713e-12 \ 2 = 1.8189894035458565e-12 
         (40)         1.8189894035458565e-12 \ 2 = 9.094947017729282e-13 
         (41)         9.094947017729282e-13 \ 2 = 4.547473508864641e-13 
         (42)         4.547473508864641e-13 \ 2 = 2.2737367544323206e-13 
         (43)         2.2737367544323206e-13 \ 2 = 1.1368683772161603e-13 
         (44)         1.1368683772161603e-13 \ 2 = 5.684341886080802e-14 
         (45)         5.684341886080802e-14 \ 2 = 2.842170943040401e-14 
         (46)         2.842170943040401e-14 \ 2 = 1.4210854715202004e-14 
         (47)         1.4210854715202004e-14 \ 2 = 7.105427357601002e-15 
         (48)         7.105427357601002e-15 \ 2 = 3.552713678800501e-15 
         (49)         3.552713678800501e-15 \ 2 = 1.7763568394002505e-15 
         (50)         1.7763568394002505e-15 \ 2 = 8.881784197001252e-16 
         (51)         8.881784197001252e-16 \ 2 = 4.440892098500626e-16 
         (52)         4.440892098500626e-16 \ 2 = 2.220446049250313e-16 

Your Epsilon Machine --> 2.220446049250313e-16
